iter	Logloss
0	0.6662223734
1	0.6435160587
2	0.6242677841
3	0.607753624
4	0.5929457435
5	0.58059503
6	0.5695522961
7	0.5602054134
8	0.5520156723
9	0.5447950387
10	0.5384860478
11	0.5327522239
12	0.5278495418
13	0.5241868487
14	0.5204416265
15	0.5172076918
16	0.5142869409
17	0.5116325144
18	0.5094168193
19	0.5073556734
20	0.5056918418
21	0.5040792023
22	0.5027701534
23	0.5017947334
24	0.5007054909
25	0.4996968817
26	0.4987808596
27	0.4978149067
28	0.4970410126
29	0.4960476641
30	0.4953512076
31	0.4946682096
32	0.493932798
33	0.4930643025
34	0.4924762483
35	0.4917912955
36	0.4913428901
37	0.4907934368
38	0.4902738668
39	0.4897727919
40	0.4892769786
41	0.4888805032
42	0.4884047354
43	0.4879900087
44	0.4875489056
45	0.4871498498
46	0.4867293114
47	0.4864667569
48	0.4860750362
49	0.4854380066
50	0.4851459595
51	0.4847611193
52	0.4842926467
53	0.4839719619
54	0.4834202757
55	0.4830106641
56	0.4825993676
57	0.4821653142
58	0.4817622443
59	0.4814853819
60	0.481150761
61	0.4808312833
62	0.4805023207
63	0.4801688713
64	0.4797215337
65	0.4794580603
66	0.4791312089
67	0.4789071762
68	0.4785751382
69	0.4783129802
70	0.4780589522
71	0.4776374543
72	0.4773077038
73	0.47704794
74	0.4765818481
75	0.476323357
76	0.4757789319
77	0.4754008525
78	0.4750202056
79	0.4746954316
80	0.4742889047
81	0.4739913686
82	0.4737935416
83	0.4733245622
84	0.4730391732
85	0.472583832
86	0.4723054289
87	0.4720052713
88	0.4717313262
89	0.4715310065
90	0.4711843547
91	0.470892297
92	0.4704770133
93	0.4702994796
94	0.4700172054
95	0.4698747893
96	0.4696361575
97	0.4693838606
98	0.4691669292
99	0.4688112334
100	0.4685858919
101	0.4684533591
102	0.468289755
103	0.4681432093
104	0.467773301
105	0.4674687383
106	0.4672391635
107	0.4669918518
108	0.4667458096
109	0.4665553076
110	0.4662547767
111	0.4659383524
112	0.4657627829
113	0.4653979631
114	0.4650278107
115	0.4647882347
116	0.4647371251
117	0.4643032276
118	0.4641549
119	0.4639365295
120	0.4637513386
121	0.4634220544
122	0.4632040772
123	0.4629589729
124	0.4625707492
125	0.462308351
126	0.4620880102
127	0.4619258636
128	0.461778125
129	0.4614992665
130	0.4612056656
131	0.4609140048
132	0.4605316479
133	0.4603932688
134	0.4601303203
135	0.4599539433
136	0.4595917781
137	0.4593488853
138	0.458950635
139	0.4585774991
140	0.4583986453
141	0.4581391682
142	0.4579016029
143	0.4576022762
144	0.4573077522
145	0.4570397567
146	0.4569356938
147	0.4567792932
148	0.4566400885
149	0.4564071789
150	0.4562113656
151	0.4558730906
152	0.4556662406
153	0.4554868391
154	0.455282225
155	0.4550678197
156	0.4547760516
157	0.4546119383
158	0.4543401013
159	0.4540908438
160	0.453873769
161	0.4535451212
162	0.4533462713
163	0.4531157099
164	0.4529327795
165	0.4527029976
166	0.4524906672
167	0.4523013122
168	0.4521380813
169	0.4519438066
170	0.4517059625
171	0.4514555997
172	0.4511959309
173	0.4507551491
174	0.4504360732
175	0.4502738477
176	0.4499673135
177	0.4496568452
178	0.4494247972
179	0.4492374833
180	0.4490578007
181	0.4488407423
182	0.4486479877
183	0.4483122232
184	0.448050496
185	0.4477251759
186	0.4475636757
187	0.4473931618
188	0.4472018482
189	0.4469336297
190	0.4466784613
191	0.4464045756
192	0.446104799
193	0.4459033456
194	0.4456252851
195	0.4454442842
196	0.4452632722
197	0.4450284059
198	0.4448057128
199	0.4445732206
200	0.4442935025
201	0.4441127821
202	0.4438688755
203	0.4435530235
